id_tt_cl;count_shops;shop_list
10864;7;Eurospar,Дикси,Азбука вкуса,Азбука daily,ВкусВилл,Мираторг,Продукты в помощь
11127;4;Перекрёсток,Перекрёсток,Продуктовый магазин,Фермерская продукция
11128;9;Супер Лента,Перекрёсток,Пятёрочка,Перекрёсток,Станем друзьями,Мини-маркет,Белорусская лавка,А.Б.,Ассортида
11160;5;Перекрёсток,Пятёрочка,Пятёрочка,Продуктовый магазин,Магазин продуктов
11178;5;Перекрёсток,Пятёрочка,Авокадо,Первым делом,Орион продукт
11271;4;Пятёрочка,Пятёрочка,Продуктовый магазин,Фатрейд
11357;4;Красное & белое,Пятёрочка,Верный,Продовольственный магазин
11398;6;Виктория,Пятёрочка,Магнит,Хороший вкус,Арнольд,Продуктовый магазин
11421;0;
11439;3;Магнолия,Руджейра,Продуктовый магазин
11471;3;Гастроном №1,Гурман 17.1,Лоза
11512;4;Пятёрочка,Продовольственный магазин,Продуктовый магазин,Мини-маркет
11532;5;Пятёрочка,Магнолия,Пятёрочка,Продуктовый магазин,Продуктовый магазин
11591;2;Магнолия,продуктовый магазин
11600;2;Пятёрочка,Арцах
11616;5;Перекрёсток,Продуктовый магазин,Продуктовый магазин,Колобок,Белорусская ферма
11698;8;Супер Лента,Пятёрочка,Продуктовый магазин,Армянские продукты,Магазин продуктов,Фатрейд,Аилантус,Мини-маркет
11701;5;Дикси,Магнит,Пятёрочка,Пятёрочка,Белорусские продукты
11705;3;Дикси,Гастроном,Продуктовый магазин
11712;4;Красное & белое,Пятёрочка,Да!,Магазин продуктов
11732;1;Пятёрочка
11911;3;Магнит,Калинка,Кулинария
11912;3;Пятёрочка,Красное & белое,Дикси
11925;2;Пятёрочка,АЭСН
11939;1;Перекрёсток
11956;7;Красное & белое,Пятёрочка,Пятёрочка,Рыба-маркет,Продуктовый магазин,Продуктовый магазин,Продуктовый магазин
12015;3;Пятёрочка,ИМПЕРИАЛ,Продуктовый магазин
12020;3;Eurospar,Отрадное,Продовольственный магазин
12113;2;Магнолия,Верный
12181;4;Супер Лента,Дикси,Магнит,Пятёрочка
12337;4;Дикси,Пятёрочка,Магнит,Лю-на
12414;2;Мини Лента,Магнит
12533;1;Верный
12611;2;Бристоль,Магнит
12612;2;Красное & белое,Магнит
12618;6;Красное & белое,Фрешфрост,Магнолия,ВкусВилл,Авоська,Три-ка
12853;2;Мини-маркет,Мини-маркет
13185;2;Фасоль,Мини-маркет
13552;3;Перекрёсток,Пятёрочка,Авокадо
14258;6;Перекрёсток,Фрешфрост,Магнолия,ВкусВилл,Пятёрочка,Гурман
14330;5;Перекрёсток,Мираторг,Верный,ВкусВилл айс,Ранай
14332;8;Бристоль,Вино и еда,Мандарин,Гастроном,Продуктовый магазин,Продуктовый магазин,Магазин продуктов,Буфетъ
14343;3;Eurospar,Пятёрочка,Мини-маркет
14365;2;Пятёрочка,Молочные продукты из Рязани
14537;5;Градусы,Авокадо,Продуктория,Сиверко,Фасоль
14815;2;Перекрёсток,Красное & белое
14859;4;Мини Лента,Пятёрочка,Мираторг,Мини Лента
14882;3;Перекрёсток,Пятёрочка,Ассортида
14902;2;Мини Лента,Верный
14966;2;Фасоль,Привольная
14975;4;Frutomania,Пятёрочка,Волмарт,Ортекс-2
14988;3;Верный,Завтрак каждый день,Магазин продуктов
15123;6;Eurospar,Дикси,Азбука daily,ВкусВилл,Мираторг,Продукты в помощь
15140;3;Магнит,Магнолия,Костромские продукты
15194;1;Магнит
15372;1;Супер Лента
15714;3;Перекрёсток,Магнолия,Магнолия
16061;1;Перекрёсток
